2111 50
1529_0_5_6	0	-0.040987 0.247427 0.331120 -0.036988 -0.152977 0.062592 0.179508 -0.111212 -0.124023 0.058014 0.027792 0.005407 0.182401 0.023218 -0.126825 -0.021586 0.019888 0.104948 0.213391 0.078260 -0.166117 -0.037833 0.025416 0.043869 0.069115 0.129943 0.191332 0.197874 -0.033633 0.250516 0.098604 -0.124297 0.004322 -0.046770 -0.132799 -0.192902 0.198067 0.074675 -0.099956 -0.005908 0.000599 0.077241 -0.104575 0.103145 -0.040167 -0.040842 0.217661 -0.393684 -0.014286 0.249367 
1529_0_11_13	1	-0.029028 -0.025005 0.254971 -0.102019 -0.033637 -0.044773 -0.070198 -0.067647 -0.133224 -0.069505 0.130735 0.111792 0.057980 0.106464 -0.008302 -0.094587 0.135741 0.130840 -0.068530 0.058325 -0.256700 -0.246238 -0.140058 0.088230 0.326831 -0.026184 -0.027863 0.029351 -0.251521 -0.013284 -0.040347 -0.076082 0.131098 -0.017583 -0.279720 -0.200303 0.016689 0.074452 -0.113517 -0.059841 0.118637 0.080708 0.021054 0.007554 -0.276994 0.092285 0.107477 -0.392324 0.089086 0.157735 
6_0_15_16	2	-0.205673 -0.094487 0.128324 -0.197351 -0.177238 -0.047684 0.044500 -0.011719 -0.132460 -0.089433 0.109896 0.133213 0.050274 -0.055304 -0.029672 0.039115 0.182846 0.147959 -0.131204 -0.006930 -0.138390 -0.063739 -0.094607 0.149700 -0.287480 -0.097041 0.078775 0.219674 0.026676 0.132318 0.078918 -0.269867 0.013375 0.141411 -0.210279 0.129217 0.235305 -0.028151 -0.035059 0.038505 0.112239 0.148386 -0.132741 -0.136746 -0.211191 0.050727 0.273048 -0.202778 0.170184 0.253588 
6_0_24_25	3	-0.173498 -0.093769 0.181473 -0.027024 -0.158345 0.061567 0.075970 0.020180 -0.169794 -0.044740 0.148879 0.218967 -0.152275 0.016439 -0.004310 -0.085277 0.279730 0.258011 -0.094337 -0.117642 0.010220 -0.074930 0.014143 0.090145 -0.175418 -0.244163 -0.061906 0.257054 -0.007436 0.270337 0.057519 -0.166332 0.030261 0.219977 -0.247031 0.034116 0.159364 -0.024589 -0.062096 0.152043 0.112526 0.100335 -0.175464 -0.020028 -0.060903 0.089857 0.105242 -0.261297 0.064863 0.164275 
1085_1_20_21	4	-0.141149 0.128619 0.226079 0.113896 -0.065612 0.046632 0.130824 0.002194 -0.068880 -0.093620 0.253415 -0.143167 0.012509 -0.140865 -0.157085 -0.059214 -0.110621 0.187925 -0.028940 0.218960 -0.114696 0.017207 0.031615 -0.153466 -0.051541 0.095174 0.099373 0.162092 0.054475 -0.044579 0.060902 -0.055939 0.168742 -0.162185 -0.311505 0.009801 0.271980 -0.131566 -0.338396 -0.012525 -0.180318 0.113590 0.042345 -0.125248 0.232887 0.176154 -0.011579 -0.088833 0.058525 0.145839 
1085_1_27_29	5	-0.046023 -0.192187 0.280066 0.087572 -0.206322 0.002295 0.261614 -0.193861 -0.108489 -0.103010 0.078253 0.091846 -0.032235 -0.090259 0.070705 -0.152972 -0.023339 0.305441 -0.195903 0.109797 -0.191771 0.049605 -0.227314 -0.080724 -0.136900 0.067725 -0.239510 0.147550 -0.018951 0.093297 -0.137006 0.071826 0.098985 -0.337877 -0.070237 -0.139467 0.048587 0.174674 -0.067362 -0.131806 -0.030418 0.139181 0.059778 -0.140069 0.059830 0.052979 0.117584 -0.013293 0.088455 0.042518 
1085_1_34_37	6	0.326656 -0.078307 0.240038 -0.099325 -0.136495 0.015504 0.222619 -0.215036 -0.113818 -0.043156 0.114549 0.133722 -0.036108 -0.023317 0.022464 0.120872 0.025957 0.275840 -0.122766 0.072599 -0.093848 0.008493 -0.015710 -0.113791 -0.023157 -0.010826 -0.071392 0.239922 -0.016524 0.212255 0.311576 0.112460 -0.051414 -0.257692 -0.159978 -0.005084 -0.001414 0.116077 -0.031198 -0.207300 -0.027797 -0.123177 -0.079955 -0.146456 -0.229441 0.040018 0.084949 -0.119873 0.181329 0.017561 
1085_1_38_40	7	0.117501 -0.031403 0.202026 -0.114066 -0.177989 0.193886 0.115170 -0.163883 0.005319 -0.001329 0.183638 -0.005541 0.111417 0.145790 0.236781 -0.116301 -0.037966 0.350686 -0.165153 0.259090 -0.149666 0.070679 -0.165735 -0.055570 -0.136628 0.021280 -0.116236 0.198196 0.216102 0.018091 0.091685 -0.144027 0.020499 -0.218516 -0.072313 -0.118167 0.105297 0.073543 0.025460 0.064521 0.026194 0.090901 -0.079258 -0.173813 -0.126522 0.077795 0.001084 -0.108644 0.251153 0.171378 
9_0_19_22	8	0.184166 -0.170338 0.045621 -0.120469 -0.239224 -0.129785 0.199723 -0.142274 0.210641 -0.056291 -0.111272 0.064694 -0.141628 -0.150628 -0.132505 -0.019733 -0.229113 0.038763 -0.222826 0.039425 0.084646 -0.119561 -0.124596 0.106754 0.041113 0.004887 -0.324204 0.082017 -0.270338 -0.015505 0.098849 -0.121625 0.168789 -0.191013 -0.133252 -0.143667 -0.041331 -0.049508 -0.007035 -0.306311 -0.047818 0.175053 -0.127980 -0.089092 0.101533 -0.013093 0.085064 -0.020126 0.129978 0.150495 
9_0_4_5	9	0.049640 -0.488975 -0.151997 -0.394063 0.012632 -1.022507 -0.280574 0.263489 1.774888 -0.216206 -0.363936 0.051794 -0.257403 -2.523170 -0.765522 -0.766569 0.114452 0.403668 -0.433227 -0.164893 1.172979 -0.713730 1.673997 1.521487 -0.220460 -1.557074 -1.638446 -0.628910 -1.220955 0.102063 1.265521 0.266006 -1.450185 0.795407 -0.293033 0.046253 1.412347 0.471005 -0.969294 0.878637 -1.105978 0.397987 -1.428307 -0.202527 -0.674399 1.278099 0.179362 -2.104509 0.983827 -0.350976 
