1849 50
1529_0_11_13_5_6	0	-0.150330 0.338114 -0.293652 -0.145768 0.128127 -0.193127 0.228824 0.026689 0.148110 -0.137530 -0.107816 -0.049830 -0.044625 -0.142579 -0.112936 -0.145136 -0.126397 0.010342 0.252483 0.156740 -0.044416 0.063786 0.134498 -0.109014 -0.067915 0.024677 -0.086976 0.180387 -0.022091 0.255502 0.139088 0.011727 -0.109801 -0.026023 -0.305059 0.006926 0.049033 0.042647 -0.102611 0.167706 0.136701 -0.092498 0.034432 0.097714 -0.162823 -0.133892 0.109826 -0.109627 -0.092771 0.093138 
6_0_15_16_24_25	1	-0.107062 -0.050231 0.260857 -0.048532 0.012135 0.096277 -0.119353 0.085987 0.148063 0.046009 -0.077311 0.304150 -0.153183 -0.228668 0.053925 -0.135020 0.226570 0.129863 0.017480 0.244190 -0.002889 0.145227 0.155332 -0.391303 0.172677 -0.085056 -0.091353 -0.220455 -0.192894 0.129045 0.080489 0.117842 -0.032839 -0.071796 -0.131027 -0.026817 0.012817 0.194235 -0.232881 0.121537 -0.095815 0.038137 0.007472 0.095576 -0.028384 -0.132151 -0.128279 0.171101 -0.017849 -0.096684 
1085_1_27_29_38_40	2	0.157518 0.137973 0.123968 -0.217143 0.033687 0.003715 -0.012367 -0.290972 -0.054685 0.111767 -0.223980 0.221756 0.099658 -0.040313 0.091433 -0.342429 0.150829 0.056552 -0.174665 -0.031659 -0.012802 -0.034763 0.202616 -0.097227 0.012168 -0.047443 -0.287668 0.068918 0.014164 0.044531 0.332739 0.095046 -0.122533 -0.098949 -0.052809 -0.052077 -0.138895 -0.106743 0.077064 0.022304 0.059161 -0.011008 -0.140096 -0.037393 -0.217854 -0.123830 0.041645 0.003738 0.280371 0.066071 
1085_1_27_29_34_37	3	0.104166 0.159465 0.119201 -0.213308 0.030815 -0.020612 -0.032946 -0.330936 -0.071415 0.081150 -0.196708 0.163854 0.009567 -0.008995 0.086519 -0.344611 0.086994 0.044043 -0.200609 -0.009802 0.014240 -0.046694 0.214849 -0.082808 0.076449 -0.075575 -0.263277 0.086991 -0.012832 0.079580 0.409018 0.088424 -0.152685 -0.094694 -0.054889 -0.036351 -0.164409 -0.104247 0.035824 -0.019119 0.094165 -0.045824 -0.139658 -0.046493 -0.199252 -0.098666 0.080413 0.011128 0.225098 0.015385 
1085_1_38_40_34_37	4	0.082872 0.095560 0.187147 -0.214594 0.042937 -0.147071 0.045423 -0.303321 -0.118149 0.054753 -0.242635 0.143310 -0.041590 -0.124050 0.068072 -0.341834 0.062226 0.064792 -0.141902 0.077982 0.034411 -0.078908 0.148448 -0.060829 0.020405 -0.072191 -0.255568 0.043448 -0.121097 0.084460 0.397721 0.188597 -0.193211 -0.109703 -0.149420 -0.108340 -0.107491 -0.024000 -0.017801 -0.001908 0.165415 -0.059619 -0.131453 -0.013310 -0.110436 -0.008284 0.089302 -0.000200 0.175589 -0.016324 
1085_1_20_21_27_29	5	0.093443 0.085681 0.128969 -0.226894 -0.077695 0.001973 0.098595 -0.295298 -0.067345 -0.002082 -0.175166 0.181731 -0.004297 -0.039022 0.019518 -0.309023 0.088319 0.123167 -0.184042 0.009641 -0.017688 0.054567 0.157485 -0.184349 0.073942 -0.009054 -0.312033 0.054185 -0.060582 0.120343 0.329486 0.129600 -0.172008 -0.171676 -0.057242 -0.081628 -0.215103 0.009296 0.071463 0.028955 0.115813 -0.048856 -0.179801 -0.117932 -0.230782 -0.121241 0.112754 -0.037880 0.151513 0.038098 
1085_1_20_21_38_40	6	0.217072 0.072754 0.162818 -0.264559 -0.044407 0.022331 0.074764 -0.315494 -0.050749 0.030832 -0.189672 0.206239 0.031862 -0.059324 0.038639 -0.300191 0.155932 0.084501 -0.127541 0.038684 -0.049542 0.058569 0.181752 -0.127758 0.029524 -0.037925 -0.287040 0.084473 0.021793 0.102050 0.290260 0.110463 -0.150486 -0.147620 -0.043200 -0.048183 -0.173974 -0.055509 0.098383 0.050671 0.092230 -0.025590 -0.187639 -0.090108 -0.219856 -0.095777 0.061674 -0.036699 0.229137 0.064773 
1085_1_20_21_34_37	7	0.144291 0.105229 0.156807 -0.279195 -0.068676 -0.031014 0.090467 -0.292971 -0.074959 0.004064 -0.179188 0.177971 -0.023354 -0.038857 0.051209 -0.301865 0.131386 0.080657 -0.139005 0.041078 0.016012 0.013703 0.192928 -0.123009 0.083981 -0.065170 -0.266079 0.079742 -0.021427 0.110253 0.361471 0.143484 -0.180375 -0.115450 -0.019323 -0.025076 -0.197433 -0.041861 0.049215 0.017421 0.151192 -0.053493 -0.183769 -0.071424 -0.198146 -0.105641 0.094694 -0.038875 0.195114 0.045206 
9_0_19_22_19_20	8	-0.236197 0.115132 -0.192773 0.075555 0.090052 0.192769 -0.051569 0.012992 -0.044640 0.088987 -0.351674 -0.126393 -0.037021 -0.110132 0.066937 -0.039841 0.007487 0.362631 -0.044568 -0.061479 0.042142 -0.028212 0.193959 -0.153574 0.093267 0.003809 -0.111049 0.081524 -0.102210 0.068843 0.311993 -0.015257 -0.121323 -0.155901 -0.264295 -0.137836 0.074999 -0.026929 -0.173185 0.062899 0.085853 -0.270996 -0.131249 -0.117260 -0.121032 -0.064370 -0.074391 0.131786 0.117565 -0.085426 
3404_0_35_36_13_14	9	-0.092796 0.189214 0.090484 0.007202 0.043081 0.011175 -0.003489 0.277763 -0.143302 -0.128981 0.071992 0.319611 -0.023601 -0.251891 -0.086746 -0.142075 -0.023506 0.003347 0.166259 0.003567 -0.105811 -0.200649 0.335779 -0.113437 -0.043904 -0.167870 -0.030221 0.336381 0.053972 0.039766 0.247200 0.109963 0.128477 -0.022934 0.003179 0.111511 0.017896 -0.071640 0.087987 0.195048 0.034492 -0.144043 0.123500 0.019367 -0.173592 -0.047520 -0.090694 0.063157 0.196845 0.068767 
